price,publisher,author,edition_year,ratings,name
1990-6,吕万和,（美）鲁思・本尼迪克特,商务印书馆,8.2,菊与刀
29.80元,北京十月文艺出版社,张爱玲,2006-12,8.7,倾城之恋
2007-3,周煦良,[英]毛姆,上海译文出版社,9.0,刀锋
22.00元,四川科学技术出版社,刘慈欣,2005-6,8.7,球状闪电
2001-9,吴立俊,[美] 斯宾塞·约翰逊,中信出版社,7.1,谁动了我的奶酪？
2004-6,徐翰林,[印] 罗宾德拉纳德·泰戈尔,哈尔滨出版社,8.8,飞鸟集
25.00元,北京十月文艺出版社,沧月,2006-10,8.5,七夜雪
23.80,中国画报出版社,舒仪,2009-3,7.5,曾有一个人，爱我如生命
20.00元,花山文艺出版社,九把刀,2007-1,8.2,那些年，我们一起追的女孩
2002-2,叶渭渠,[日] 川端康成,广西师范大学出版社,8.2,伊豆的舞女
2002-12,林少华,[日] 村上春树,上海译文出版社,8.6,世界尽头与冷酷仙境
1996-12,王科一,[英] 奥斯丁,上海译文出版社,9.0,傲慢与偏见
2010-2,潘帕,[英] 伊恩·麦克尤恩,南京大学出版社,8.0,最初的爱情 最后的仪式
26.80元,安徽文艺出版社,天下霸唱,2006-11,8.0,鬼吹灯之云南虫谷
29.80元,中国海关出版社,当年明月,2009-4,8.9,明朝那些事儿（柒）：大结局
32.00元,电子工业出版社,李笑来,2009-6,8.5,把时间当作朋友
2008-11,谢明宪,[澳] 朗达·拜恩,中国城市出版社,7.3,秘密
2005-2,朱振武,[美] 丹.布朗,人民文学出版社,8.2,天使与魔鬼
29.80元,中国书店,古典,2010-9,7.9,拆掉思维里的墙
28.80,中国海关出版社,当年明月,2008-11,8.8,明朝那些事儿（陆）
25.00元,文化艺术出版社,李海鹏,2010-6,8.2,佛祖在一号线
0,三联书店,金庸,1999-04,8.5,倚天屠龙记(共四册)
36.80元,上海锦绣文章出版社,hans,2009-1,9.0,阿狸·梦之城堡
28.00,陕西师范大学出版社,李可,2009-1,7.3,杜拉拉2华年似水
22.00,长江文艺出版社,落落,2007-12,7.6,不朽
CNY 39.80,湖南文艺出版社,张嘉佳,2013-11-1,7.1,从你的全世界路过
24.00元,长江文艺出版社,郭敬明,2007-5,6.2,悲伤逆流成河
2009-6,娄美莲,[日] 东野圭吾,南海出版公司,8.4,恶意
96.0,三联书店,金庸,1994-5,9.1,天龙八部
2010-1,赵峻,[日]东野圭吾,南海出版公司,7.6,放学后
34.99美元,Arthur A. Levine Books,J.K.Rowling,2007-7-21,8.9,Harry Potter and the Deathly Hallows
